title,id_text,link
поздней осенью в Берлине,/2014/06/26/1056,https://proza.ru/2014/06/26/1056
Мими,/2014/06/27/499,https://proza.ru/2014/06/27/499
23. 12. 1910,/2014/06/28/703,https://proza.ru/2014/06/28/703
заботы,/2014/06/29/581,https://proza.ru/2014/06/29/581
хорошенькое начало,/2014/06/30/701,https://proza.ru/2014/06/30/701
коротко о связи в 1911 году,/2014/07/02/761,https://proza.ru/2014/07/02/761
Ленин был четыре раза,/2014/04/22/1370,https://proza.ru/2014/04/22/1370
начало 1912 года,/2014/07/03/917,https://proza.ru/2014/07/03/917
нарасхват,/2014/07/04/753,https://proza.ru/2014/07/04/753
успех и его последствия,/2014/07/06/610,https://proza.ru/2014/07/06/610
отказ,/2014/07/07/676,https://proza.ru/2014/07/07/676
расхождения,/2014/07/08/732,https://proza.ru/2014/07/08/732
не совсем обычное воскресенье,/2014/07/09/494,https://proza.ru/2014/07/09/494
Бедный Хуго Фейс,/2014/07/10/812,https://proza.ru/2014/07/10/812
"И так, прощай",/2014/07/11/674,https://proza.ru/2014/07/11/674
допрыгалась,/2014/07/12/491,https://proza.ru/2014/07/12/491
1913 год,/2014/07/13/667,https://proza.ru/2014/07/13/667
последние мирные месяцы,/2014/07/15/727,https://proza.ru/2014/07/15/727
"Берлин, август 1914г",/2014/08/05/578,https://proza.ru/2014/08/05/578
сентябрь - октябрь 1914 года,/2014/08/07/962,https://proza.ru/2014/08/07/962
против войны,/2014/08/13/839,https://proza.ru/2014/08/13/839
письмо на фронт,/2014/08/08/805,https://proza.ru/2014/08/08/805
Пауль Леви,/2014/08/06/794,https://proza.ru/2014/08/06/794
как я себе противоречу,/2014/08/09/954,https://proza.ru/2014/08/09/954
так не кстати,/2014/08/10/485,https://proza.ru/2014/08/10/485
начало 1915 года,/2014/08/11/455,https://proza.ru/2014/08/11/455
конец февраля 1915 года,/2014/08/11/820,https://proza.ru/2014/08/11/820
весна в тюрьме,/2014/08/14/607,https://proza.ru/2014/08/14/607
последнее письмо,/2014/08/15/745,https://proza.ru/2014/08/15/745
тюремные будни,/2014/08/16/753,https://proza.ru/2014/08/16/753
май 1915 года,/2014/08/16/1720,https://proza.ru/2014/08/16/1720
от камеры к камере,/2014/08/16/1934,https://proza.ru/2014/08/16/1934
18. 09. 1915,/2014/08/18/1273,https://proza.ru/2014/08/18/1273
Матильда и Гертруд,/2014/08/23/645,https://proza.ru/2014/08/23/645
единственное утешение,/2014/08/24/961,https://proza.ru/2014/08/24/961
освобождение,/2014/08/25/602,https://proza.ru/2014/08/25/602
пара месяцев на свободе,/2014/08/29/1642,https://proza.ru/2014/08/29/1642
к дню рождения Клары,/2014/09/03/816,https://proza.ru/2014/09/03/816
Соне Либкнехт пeред арестом,/2014/09/06/779,https://proza.ru/2014/09/06/779
новые обстоятельства,/2014/09/07/671,https://proza.ru/2014/09/07/671
налаживание жизни в крепости,/2014/09/08/1276,https://proza.ru/2014/09/08/1276
поздней осенью 1916,/2014/09/09/631,https://proza.ru/2014/09/09/631
щедрый декабрь 1916 года,/2014/09/11/468,https://proza.ru/2014/09/11/468
тогда на Вы,/2014/09/12/498,https://proza.ru/2014/09/12/498
моя маленькая птичка,/2014/09/13/530,https://proza.ru/2014/09/13/530
придворный шут,/2014/09/13/521,https://proza.ru/2014/09/13/521
Розины январские заботы,/2014/09/14/1444,https://proza.ru/2014/09/14/1444
без кожи,/2014/09/19/776,https://proza.ru/2014/09/19/776
моя дорогая Тильда,/2014/09/20/495,https://proza.ru/2014/09/20/495
двойная клетка,/2014/09/22/604,https://proza.ru/2014/09/22/604
5 марта 1917 года,/2014/09/23/907,https://proza.ru/2014/09/23/907
8 марта 1917 года,/2014/09/24/426,https://proza.ru/2014/09/24/426
март и Матильда,/2014/09/26/639,https://proza.ru/2014/09/26/639
весенним днём на Южной,/2014/09/27/486,https://proza.ru/2014/09/27/486
Золотой дождь,/2014/09/28/873,https://proza.ru/2014/09/28/873
Хансу Дифенбаху 5 апреля 1917 г,/2014/04/06/794,https://proza.ru/2014/04/06/794
Кларе Цеткин 13 апреля 1917 года,/2014/04/13/1979,https://proza.ru/2014/04/13/1979
15 апреля 1917 г,/2014/10/05/637,https://proza.ru/2014/10/05/637
Соне Либкнехт,/2014/04/09/1602,https://proza.ru/2014/04/09/1602
конец апреля 1917,/2014/10/08/885,https://proza.ru/2014/10/08/885
"Я не человек, а...",/2014/10/12/682,https://proza.ru/2014/10/12/682
трудный май 1917 года,/2014/10/16/804,https://proza.ru/2014/10/16/804
Цици-бэ,/2014/10/19/2165,https://proza.ru/2014/10/19/2165
на Троицу,/2014/10/22/1036,https://proza.ru/2014/10/22/1036
в чём причина,/2014/10/23/592,https://proza.ru/2014/10/23/592
со мной этого не повторится,/2014/10/25/728,https://proza.ru/2014/10/25/728
Я опять здесь,/2014/10/23/1680,https://proza.ru/2014/10/23/1680
Чудесный сон,/2014/04/24/1767,https://proza.ru/2014/04/24/1767
Hypolais и облака,/2014/04/23/943,https://proza.ru/2014/04/23/943
удар,/2014/10/26/933,https://proza.ru/2014/10/26/933
Я не знаю другого средства..,/2014/10/27/1004,https://proza.ru/2014/10/27/1004
печальное известие,/2014/10/28/870,https://proza.ru/2014/10/28/870
27 августа 1917 года,/2014/10/29/714,https://proza.ru/2014/10/29/714
перед трагедией,/2014/11/05/710,https://proza.ru/2014/11/05/710
как оборванный аккорд,/2014/11/06/705,https://proza.ru/2014/11/06/705
надо жить,/2014/11/08/838,https://proza.ru/2014/11/08/838
печаль и надежда,/2014/11/08/2010,https://proza.ru/2014/11/08/2010
Дорогой Хельми,/2014/11/10/918,https://proza.ru/2014/11/10/918
19 декабря 1917 года,/2014/11/16/1044,https://proza.ru/2014/11/16/1044
январь 1918 года,/2014/11/20/1052,https://proza.ru/2014/11/20/1052
февраль - март 1918,/2014/11/22/1117,https://proza.ru/2014/11/22/1117
24 марта 1918 года,/2014/11/23/845,https://proza.ru/2014/11/23/845
"весна, лето, осень 1918 года",/2014/11/25/990,https://proza.ru/2014/11/25/990
конец 1918 года,/2014/11/27/584,https://proza.ru/2014/11/27/584
последнее письмо,/2014/11/27/839,https://proza.ru/2014/11/27/839
послесловие,/2014/11/28/947,https://proza.ru/2014/11/28/947
Ханс Дифенбах,/2014/04/06/985,https://proza.ru/2014/04/06/985
